"Seq ID",GeneID,"Locus Tag","Feature Type","Total Reads Mapping","Total RPKM (Reads Mapped)","Total Reads Mapping (Reads Mapped to Gene Models)","Total RPKM (Reads Mapped to Gene Models)","Sense Reads Mapping","Sense RPKM (Reads Mapped)","Sense RPKM (Reads Mapped to Gene Models)","Antisense Reads Mapping","Antisense RPKM (Reads Mapped)","Antisense RPKM (Reads Mapped to Gene Models)"
17,ENSG00000126353,,,4015,26.9380305653495,0,0,1999,13.4119858281778,,2016,13.5260447371718,
5,ENSG00000134061,,,2,0.0200367026355956,0,0,1,0.0100183513177978,,1,0.0100183513177978,
5,ENSG00000164400,,,4955,205.95569740687,0,0,2467,102.541413824975,,2488,103.414283581896,
17,ENSG00000108342,,,15864,50.9639246936719,0,0,7876,25.3020594356631,,7988,25.6618652580088,
4,ENSG00000081041,,,27245,374.755454844432,0,0,13523,186.009103169802,,13722,188.74635167463,
5,ENSG00000113302,,,5120,60.2186976646231,0,0,2586,30.4151469063897,,2534,29.8035507582334,
6,ENSG00000226979,,,623,3.48459337347268,0,0,304,1.70034732830769,,319,1.78424604516498,
1,ENSG00000162711,,,14521,17.9801140228649,0,0,7235,8.95848253945512,,7286,9.02163148340981,
17,ENSG00000007171,,,115,0.89747428724972,0,0,59,0.460443329980291,,56,0.437030957269429,
1,ENSG00000169403,,,260,0.824223710531805,0,0,128,0.405771672877196,,132,0.418452037654609,
7,ENSG00000006128,,,25,0.186990710667143,0,0,13,0.0972351695469145,,12,0.0897555411202287,
6,ENSG00000232810,,,180087,3487.49585092045,0,0,89742,1737.90919196446,,90345,1749.58665895599,
1,ENSG00000186827,,,14,0.143816738714377,0,0,7,0.0719083693571883,,7,0.0719083693571883,
19,ENSG00000127533,,,0,0,0,0,0,,,0,,
7,ENSG00000233038,,,0,0,0,0,0,,,0,,
X,ENSG00000240143,,,0,0,0,0,0,,,0,,
3,ENSG00000181631,,,0,0,0,0,0,,,0,,
19,ENSG00000134830,,,2,0.0122579259735463,0,0,1,0.00612896298677314,,1,0.00612896298677314,
16,ENSG00000140955,,,24,0.0629080769868809,0,0,11,0.0288328686189871,,13,0.0340752083678938,
