"Seq ID",GeneID,"Locus Tag","Feature Type","Total Reads Mapping","Total RPKM (Reads Mapped)","Total Reads Mapping (Reads Mapped to Gene Models)","Total RPKM (Reads Mapped to Gene Models)","Sense Reads Mapping","Sense RPKM (Reads Mapped)","Sense RPKM (Reads Mapped to Gene Models)","Antisense Reads Mapping","Antisense RPKM (Reads Mapped)","Antisense RPKM (Reads Mapped to Gene Models)"
17,ENSG00000126353,,,781,4.36690573392641,0,0,385,2.15270000968203,,396,2.21420572424438,
5,ENSG00000134061,,,10,0.0834908242793292,0,0,5,0.0417454121396646,,5,0.0417454121396646,
5,ENSG00000164400,,,977,33.8428716504703,0,0,481,16.6616389599552,,496,17.1812326905151,
17,ENSG00000108342,,,4301,11.5149511047572,0,0,2128,5.69723691023559,,2173,5.81771419452159,
4,ENSG00000081041,,,8433,96.6686698194133,0,0,4226,48.4432347511965,,4207,48.2254350682167,
5,ENSG00000113302,,,926,9.07642610278073,0,0,471,4.61662709979452,,455,4.45979900298621,
6,ENSG00000226979,,,171,0.797081375645283,0,0,78,0.363580978364515,,93,0.433500397280768,
1,ENSG00000162711,,,1683,1.73669087981317,0,0,840,0.866797587072525,,843,0.869893292740641,
17,ENSG00000007171,,,30,0.195113770116263,0,0,15,0.0975568850581316,,15,0.0975568850581316,
1,ENSG00000169403,,,1356,3.58239885020554,0,0,677,1.7885575380451,,679,1.79384131216044,
7,ENSG00000006128,,,3,0.018700093144199,0,0,2,0.0124667287627994,,1,0.00623336438139968,
6,ENSG00000232810,,,37321,602.319744202514,0,0,18543,299.26355180052,,18778,303.056192401993,
1,ENSG00000186827,,,142,1.21566030641029,0,0,70,0.599269165131835,,72,0.616391141278459,
19,ENSG00000127533,,,0,0,0,0,0,,,0,,
7,ENSG00000233038,,,0,0,0,0,0,,,0,,
X,ENSG00000240143,,,3,0.250627564152438,0,0,1,0.0835425213841461,,2,0.167085042768292,
3,ENSG00000181631,,,0,0,0,0,0,,,0,,
19,ENSG00000134830,,,0,0,0,0,0,,,0,,
16,ENSG00000140955,,,20,0.0436885524278786,0,0,9,0.0196598485925454,,11,0.0240287038353332,
