"Seq ID",GeneID,"Locus Tag","Feature Type","Total Reads Mapping","Total RPKM (Reads Mapped)","Total Reads Mapping (Reads Mapped to Gene Models)","Total RPKM (Reads Mapped to Gene Models)","Sense Reads Mapping","Sense RPKM (Reads Mapped)","Sense RPKM (Reads Mapped to Gene Models)","Antisense Reads Mapping","Antisense RPKM (Reads Mapped)","Antisense RPKM (Reads Mapped to Gene Models)"
17,ENSG00000126353,,,4914,25.1661830571523,0,0,2438,12.4857863844805,,2476,12.6803966726718,
5,ENSG00000134061,,,2,0.0152942491338418,0,0,1,0.00764712456692091,,1,0.00764712456692091,
5,ENSG00000164400,,,6121,194.202331065937,0,0,3058,97.0218474758433,,3063,97.1804835900942,
17,ENSG00000108342,,,19608,48.0823150529274,0,0,9762,23.9381660315523,,9846,24.1441490213751,
4,ENSG00000081041,,,37535,394.093687443426,0,0,18699,196.327637178756,,18836,197.76605026467,
5,ENSG00000113302,,,6808,61.119930597444,0,0,3423,30.7305408982155,,3385,30.3893896992286,
6,ENSG00000226979,,,930,3.97053396757095,0,0,461,1.96818941833356,,469,2.00234454923739,
1,ENSG00000162711,,,19166,18.1146233078825,0,0,9572,9.04691507372698,,9594,9.06770823415552,
17,ENSG00000007171,,,224,1.33436333537349,0,0,116,0.691009584389842,,108,0.643353750983646,
1,ENSG00000169403,,,288,0.696893078214515,0,0,143,0.346026771474568,,145,0.350866306739947,
7,ENSG00000006128,,,25,0.142732193348859,0,0,12,0.0685114528074522,,13,0.0742207405414066,
6,ENSG00000232810,,,234619,3468.13842287863,0,0,117017,1729.74547598442,,117602,1738.39294689421,
1,ENSG00000186827,,,43,0.337172202986168,0,0,21,0.164665494481617,,22,0.172506708504551,
19,ENSG00000127533,,,0,0,0,0,0,,,0,,
7,ENSG00000233038,,,0,0,0,0,0,,,0,,
X,ENSG00000240143,,,2,0.153037192571445,0,0,1,0.0765185962857226,,1,0.0765185962857226,
3,ENSG00000181631,,,0,0,0,0,0,,,0,,
19,ENSG00000134830,,,4,0.0187132361160616,0,0,2,0.00935661805803081,,2,0.00935661805803081,
16,ENSG00000140955,,,70,0.140053870478441,0,0,35,0.0700269352392207,,35,0.0700269352392207,
