"Seq ID",GeneID,"Locus Tag","Feature Type","Total Reads Mapping","Total RPKM (Reads Mapped)","Total Reads Mapping (Reads Mapped to Gene Models)","Total RPKM (Reads Mapped to Gene Models)","Sense Reads Mapping","Sense RPKM (Reads Mapped)","Sense RPKM (Reads Mapped to Gene Models)","Antisense Reads Mapping","Antisense RPKM (Reads Mapped)","Antisense RPKM (Reads Mapped to Gene Models)"
17,ENSG00000126353,,,2039,8.78330131794932,0,0,1009,4.34642031869096,,1030,4.43688099925836,
5,ENSG00000134061,,,5,0.0321607764923893,0,0,2,0.0128643105969557,,3,0.0192964658954336,
5,ENSG00000164400,,,1471,39.2557327794672,0,0,736,19.641209602779,,735,19.6145231766882,
17,ENSG00000108342,,,7251,14.9557547058099,0,0,3578,7.37990488724146,,3673,7.57584981856844,
4,ENSG00000081041,,,12485,110.257962264076,0,0,6186,54.6300163849079,,6299,55.6279458791683,
5,ENSG00000113302,,,1357,10.247112633415,0,0,679,5.1273319661671,,678,5.11978066724785,
6,ENSG00000226979,,,213,0.764898708232326,0,0,100,0.359107374756961,,113,0.405791333475366,
1,ENSG00000162711,,,2748,2.18460492699892,0,0,1364,1.08435266391067,,1384,1.10025226308825,
17,ENSG00000007171,,,75,0.375790418016639,0,0,39,0.195411017368652,,36,0.180379400647987,
1,ENSG00000169403,,,2204,4.48583825513958,0,0,1081,2.20017747450358,,1123,2.285660780636,
7,ENSG00000006128,,,0,0,0,0,0,,,0,,
6,ENSG00000232810,,,57648,716.763440254772,0,0,28651,356.230733533505,,28997,360.532706721267,
1,ENSG00000186827,,,225,1.48396679348131,0,0,108,0.712304060871031,,117,0.771662732610283,
19,ENSG00000127533,,,0,0,0,0,0,,,0,,
7,ENSG00000233038,,,2,0.0063876865646583,0,0,1,0.00319384328232915,,1,0.00319384328232915,
X,ENSG00000240143,,,10,0.643613805717661,0,0,3,0.193084141715298,,7,0.450529664002363,
3,ENSG00000181631,,,2,0.0150533858976687,0,0,1,0.00752669294883434,,1,0.00752669294883434,
19,ENSG00000134830,,,0,0,0,0,0,,,0,,
16,ENSG00000140955,,,0,0,0,0,0,,,0,,
